Symbol,Strategy,FinalEquity,AnnRet,AnnVol,Sharpe,MaxDD,Calmar,param_mr_window,param_vol_q,param_fee_bps
SPY,Momentum,0.8895836377995284,-0.00790942198732203,0.09000985900875413,-0.04260654123395286,-1.521339461989862,-0.005198985620853328,30,0.1,1.0
SPY,Mean Reversion,2.443955886419919,0.06252647355702856,0.1363222404877388,0.5134205113717869,-1.6235128025120495,0.03851307698977292,30,0.1,1.0
SPY,Mean Reversion with Regime,1.1623001404684443,0.010259933335590388,0.038451373307989097,0.2846512068440478,-1.1136989889252766,0.009212483299002774,30,0.1,1.0
2330.TW,Buy&Hold,27.586594324235275,0.2626968130412368,0.2525452682972516,1.0499831172641059,-8.398519125197021,0.03127894443356098,30,0.1,1.0
2330.TW,Momentum,1.7567743132713727,0.04041496862181093,0.1331595089990732,0.3639398825476993,-1.3425946063596075,0.030102138374735864,30,0.1,1.0
2330.TW,Mean Reversion,6.866005930776744,0.14506663997867442,0.169474562638924,0.8840444254513451,-3.4520692139729854,0.04202309715908543,30,0.1,1.0
2330.TW,Mean Reversion with Regime,1.9294746918273513,0.04729718393850679,0.05034194124124824,0.9429427098937302,-1.1003339720551868,0.04298438941239435,30,0.1,1.0
SPY,Buy&Hold,6.57202537023068,0.13631033926210834,0.1709404082602463,0.833541156725043,-2.2558361121045976,0.06042563931425705,30,0.1,2.0
SPY,Momentum,0.7771461679923278,-0.01696618423946017,0.09001846744107835,-0.14446144745355044,-1.5390435417769819,-0.011023849409660618,30,0.1,2.0
SPY,Mean Reversion,2.3615229399182507,0.06005505368263231,0.1363313310460246,0.4963107526710441,-1.6129171784225298,0.037233811187607005,30,0.1,2.0
SPY,Mean Reversion with Regime,1.1558262296962631,0.00987703177799748,0.03842575184185455,0.27494998240172475,-1.1140284709602548,0.008866049688554022,30,0.1,2.0
2330.TW,Buy&Hold,27.586594324235275,0.2626968130412368,0.2525452682972516,1.0499831172641059,-8.398519125197021,0.03127894443356098,30,0.1,2.0
2330.TW,Momentum,1.5322455065355438,0.030459435041078287,0.133133243266696,0.2917626365296316,-1.3450111173933508,0.022646232917471396,30,0.1,2.0
2330.TW,Mean Reversion,6.612682105825717,0.14204391243956538,0.16947922741142915,0.8684208360205226,-3.378981776549175,0.04203748994012906,30,0.1,2.0
2330.TW,Mean Reversion with Regime,1.9118485963117449,0.046621613451963695,0.05031091022117976,0.9306667537814144,-1.1009336967176844,0.04234733989064104,30,0.1,2.0
SPY,Buy&Hold,6.57202537023068,0.13631033926210834,0.1709404082602463,0.833541156725043,-2.2558361121045976,0.06042563931425705,30,0.7,0.5
SPY,Momentum,0.9517581916574899,-0.0033501413342850173,0.09000798468362174,0.008327993351932983,-1.5111984469617847,-0.0022168771685944803,30,0.7,0.5
SPY,Mean Reversion,2.4862420106879997,0.06376425043746337,0.13631827621761988,0.5219740217240062,-1.628872112318638,0.039146259522300594,30,0.7,0.5
SPY,Mean Reversion with Regime,2.336751118112772,0.05929664686024516,0.07277354467738167,0.8280282333380934,-1.1544482110118333,0.05136362661801324,30,0.7,0.5
2330.TW,Buy&Hold,27.586594324235275,0.2626968130412368,0.2525452682972516,1.0499831172641059,-8.398519125197021,0.03127894443356098,30,0.7,0.5
2330.TW,Momentum,1.8810812504681318,0.04542836934526262,0.13317431461065452,0.40001280442835524,-1.3413082859008605,0.03386870104567471,30,0.7,0.5
2330.TW,Mean Reversion,6.996274271717039,0.14658088896354005,0.16947275382761928,0.8918537873674016,-3.4894438445675995,0.04200694881269937,30,0.7,0.5
